,Quarter,Tm,Detail,NYG,STL
0,1.0,Cardinals,John David Crow 7 yard rush (Gerry Perry kick),0,7
1,1.0,Giants,Del Shofner 6 yard pass from Y.A. Tittle (Don Chandler kick),7,7
2,2.0,Cardinals,John David Crow 1 yard rush (Gerry Perry kick),7,14
3,2.0,Giants,Alex Webster 1 yard rush (Don Chandler kick),14,14
4,2.0,Giants,Dick Lynch special teams fumble recovery in end zone (Don Chandler kick),21,14
5,3.0,Giants,Y.A. Tittle 21 yard rush (Don Chandler kick),28,14
6,4.0,Giants,Don Chandler 35 yard field goal,31,14
