,Quarter,Tm,Detail,STL,RAM
0,1.0,Cardinals,Stump Mitchell 1 yard rush (Novo Bojovic kick),7,0
1,1.0,Rams,Eric Dickerson 1 yard rush,7,6
2,1.0,Rams,Ron Brown 13 yard pass from Dieter Brock (Mike Lansford kick),7,13
3,2.0,Rams,Tony Hunter 47 yard pass from Dieter Brock (Mike Lansford kick),7,20
4,2.0,Rams,Eric Dickerson 2 yard rush (Mike Lansford kick),7,27
5,2.0,Rams,"Safety, Lomax tackled in end zone",7,29
6,2.0,Rams,Henry Ellard 43 yard pass from Dieter Brock (Mike Lansford kick),7,36
7,3.0,Rams,Tony Hunter 3 yard pass from Dieter Brock (Mike Lansford kick),7,43
8,3.0,Cardinals,Doug Marsh 12 yard pass from Neil Lomax (Novo Bojovic kick),14,43
9,4.0,Rams,Mike Lansford 46 yard field goal,14,46
