,Quarter,Time,Tm,Detail,BAL,HOU
0,1.0,,Oilers,Frank Wycheck 3 yard pass from Chris Chandler (Al Del Greco kick),0,7
1,1.0,,Oilers,Willie Davis 18 yard pass from Chris Chandler (Al Del Greco kick),0,14
2,2.0,,Ravens,Michael Jackson 7 yard pass from Vinny Testaverde (Matt Stover kick),7,14
3,2.0,,Oilers,Al Del Greco 41 yard field goal,7,17
4,3.0,,Oilers,"Safety, Montgomery stepped out of end zone",7,19
5,3.0,,Oilers,Ronnie Harmon 2 yard rush (Al Del Greco kick),7,26
6,4.0,,Oilers,Al Del Greco 44 yard field goal,7,29
7,4.0,,Ravens,Herman Arvie 1 yard pass from Vinny Testaverde (pass failed),13,29
