,Quarter,Time,Tm,Detail,DET,DAL
0,1,,Cowboys,Alvin Harper 17 yard pass from Troy Aikman (Chris Boniol kick),0,7
1,1,,Lions,Jason Hanson 32 yard field goal,3,7
2,2,,Lions,Brett Perriman 25 yard pass from Scott Mitchell (Jason Hanson kick),10,7
3,3,,Lions,Herman Moore 9 yard pass from Scott Mitchell (Jason Hanson kick),17,7
4,3,,Cowboys,Chris Boniol 19 yard field goal,17,10
5,4,,Cowboys,Emmitt Smith 6 yard rush (Chris Boniol kick),17,17
6,OT,,Lions,Jason Hanson 44 yard field goal,20,17
