,Quarter,Tm,Detail,DET,CLE
0,1.0,Browns,Paul Warfield 21 yard pass from Bill Nelsen (Don Cockroft kick),0,7
1,2.0,Lions,Earl McCullouch 13 yard pass from Bill Munson (Errol Mann kick),7,7
2,2.0,Browns,Gary Collins 23 yard pass from Bill Nelsen (Don Cockroft kick),7,14
3,2.0,Browns,Gary Collins 23 yard pass from Bill Nelsen (Don Cockroft kick),7,21
4,3.0,Lions,John Wright 26 yard pass from Bill Munson (Errol Mann kick),14,21
5,4.0,Lions,Nick Eddy 1 yard rush (Errol Mann kick),21,21
6,4.0,Lions,Mel Farr 2 yard rush (Errol Mann kick),28,21
