,Quarter,Time,Tm,Detail,CAR,SFO
0,1.0,9:18,49ers,Emmanuel Sanders 4 yard pass from Jimmy Garoppolo (Robbie Gould kick),0,7
1,1.0,4:28,Panthers,Joey Slye 41 yard field goal,3,7
2,1.0,1:15,49ers,Tevin Coleman 19 yard rush (Robbie Gould kick),3,14
3,2.0,12:48,49ers,Tevin Coleman 10 yard pass from Jimmy Garoppolo (Robbie Gould kick),3,21
4,2.0,2:00,49ers,Tevin Coleman 48 yard rush (pass failed),3,27
5,3.0,12:48,Panthers,"Safety, Jimmy Garoppolo sacked in end zone by Bruce Irvin",5,27
6,3.0,11:24,Panthers,Christian McCaffrey 40 yard rush (Christian McCaffrey run),13,27
7,3.0,7:20,49ers,Deebo Samuel 20 yard rush (Robbie Gould kick),13,34
8,3.0,0:32,49ers,Tevin Coleman 1 yard rush (Robbie Gould kick),13,41
9,4.0,12:56,49ers,Robbie Gould 20 yard field goal,13,44
10,4.0,6:24,49ers,Raheem Mostert 41 yard rush (Robbie Gould kick),13,51
