,Quarter,Tm,Detail,PHI,DET
0,1.0,Eagles,Joe Carter 52 yard touchdown on a lateral (Dave Smukler kick),7,0
1,1.0,Eagles,Jay Arnold 7 yard pass from Dave Smukler (Dave Smukler kick),14,0
2,3.0,Eagles,Bill Hewitt 25 yard pass from Dave Smukler (Dave Smukler kick),21,0
3,4.0,Lions,Ace Gutowsky 2 yard rush (Dutch Clark kick),21,7
