,Quarter,Tm,Detail,TAM,DET
0,1.0,Lions,Richard Johnson 2 yard pass from Bob Gagliano (Eddie Murray kick),0,7
1,1.0,Lions,Jason Phillips 55 yard pass from Bob Gagliano (Eddie Murray kick),0,14
2,2.0,Lions,Eddie Murray 33 yard field goal,0,17
3,2.0,Lions,Barry Sanders 4 yard rush (Eddie Murray kick),0,24
4,3.0,Lions,Eddie Murray 43 yard field goal,0,27
5,4.0,Lions,Eddie Murray 35 yard field goal,0,30
6,4.0,Lions,Eddie Murray 36 yard field goal,0,33
7,4.0,Buccaneers,Mark Carrier 69 yard pass from Joe Ferguson (Donald Igwebuike kick),7,33
