,Quarter,Tm,Detail,NWE,IND
0,1.0,Patriots,Marv Cook 23 yard pass from Tom Hodson (Jason Staurovsky kick),7,0
1,1.0,Colts,Bill Brooks 24 yard pass from Jeff George (Dean Biasucci kick),7,7
2,2.0,Patriots,Jason Staurovsky 35 yard field goal,10,7
3,3.0,Patriots,Jason Staurovsky 39 yard field goal,13,7
4,4.0,Patriots,Jason Staurovsky 36 yard field goal,16,7
