,Quarter,Tm,Detail,SDG,OAK
0,1.0,Chargers,Hank Bauer 11 yard rush (Rolf Benirschke kick),7,0
1,2.0,Raiders,Dave Casper 12 yard pass from Ken Stabler (run failed),7,6
2,2.0,Raiders,Arthur Whittington 26 yard rush (Errol Mann kick),7,13
3,2.0,Raiders,Mark van Eeghen 12 yard rush (Errol Mann kick),7,20
4,3.0,Chargers,Dan Fouts 1 yard rush (Rolf Benirschke kick),14,20
5,4.0,Raiders,Errol Mann 25 yard field goal,14,23
6,4.0,Chargers,Rolf Benirschke 27 yard field goal,17,23
7,4.0,Chargers,Greg McCrary 29 yard pass from Dan Fouts (Rolf Benirschke kick),24,23
8,4.0,Chargers,Rolf Benirschke 32 yard field goal,27,23
