,Quarter,Tm,Detail,CLE,PHI
0,1.0,Eagles,Harold Carmichael 19 yard pass from Ron Jaworski,0,6
1,1.0,Browns,Reggie Rucker 21 yard pass from Brian Sipe (Don Cockroft kick),7,6
2,2.0,Browns,Don Cockroft 39 yard field goal,10,6
3,2.0,Eagles,Wilbert Montgomery 62 yard rush (Tony Franklin kick),10,13
4,3.0,Eagles,Tony Franklin 42 yard field goal,10,16
5,3.0,Eagles,Tony Franklin 39 yard field goal,10,19
6,4.0,Browns,Ozzie Newsome 5 yard pass from Brian Sipe (Don Cockroft kick),17,19
7,4.0,Browns,Mike Pruitt 24 yard rush (Don Cockroft kick),24,19
