,Quarter,Time,Tm,Detail,IND,NOR
0,2.0,,Colts,Marshall Faulk 6 yard rush (Cary Blanchard kick),7,0
1,2.0,,Saints,Torrance Small 32 yard pass from Jim Everett (Doug Brien kick),7,7
2,3.0,,Saints,Quinn Early 2 yard pass from Jim Everett (Doug Brien kick),7,14
3,4.0,,Colts,Roosevelt Potts 40 yard pass from Jim Harbaugh (Cary Blanchard kick),14,14
4,4.0,,Saints,Doug Brien 25 yard field goal,14,17
