,Quarter,Time,Tm,Detail,CLE,OAK
0,1.0,0:37,Raiders,Sebastian Janikowski 32 yard field goal,0,3
1,2.0,11:00,Raiders,Sebastian Janikowski 22 yard field goal,0,6
2,2.0,4:45,Raiders,Ronald Curry 41 yard pass from Josh McCown (Sebastian Janikowski kick),0,13
3,2.0,2:05,Raiders,Sebastian Janikowski 23 yard field goal,0,16
4,2.0,1:53,Browns,Josh Cribbs 99 yard kickoff return (Phil Dawson kick),7,16
5,2.0,0:11,Browns,Phil Dawson 23 yard field goal,10,16
6,3.0,9:16,Browns,Braylon Edwards 21 yard pass from Derek Anderson (Phil Dawson kick),17,16
7,3.0,0:10,Raiders,LaMont Jordan 1 yard rush (Sebastian Janikowski kick),17,23
8,4.0,8:11,Raiders,Sebastian Janikowski 48 yard field goal,17,26
9,4.0,3:33,Browns,Derek Anderson 1 yard rush (Phil Dawson kick),24,26
