,Quarter,Tm,Detail,PHI,RAM
0,1,Rams,Terry Nelson 1 yard pass from Joe Namath (Rafael Septien kick),0,7
1,2,Rams,Lawrence McCutcheon 13 yard pass from Joe Namath (Rafael Septien kick),0,14
2,3,Rams,Rafael Septien 20 yard field goal,0,17
3,4,Rams,Rafael Septien 23 yard field goal,0,20
