,Quarter,Tm,Detail,STL,SFO
0,1.0,49ers,Ray Wersching 47 yard field goal,0,3
1,1.0,49ers,Jerry Rice 45 yard pass from Joe Montana (Ray Wersching kick),0,10
2,1.0,Cardinals,John Lee 37 yard field goal,3,10
3,2.0,49ers,Ray Wersching 35 yard field goal,3,13
4,2.0,49ers,Jerry Rice 40 yard pass from Joe Montana (Ray Wersching kick),3,20
5,2.0,Cardinals,J.T. Smith 24 yard pass from Cliff Stoudt (John Lee kick),10,20
6,2.0,49ers,Ray Wersching 41 yard field goal,10,23
7,3.0,49ers,Jerry Rice 44 yard pass from Joe Montana (Ray Wersching kick),10,30
8,4.0,49ers,Joe Cribbs 3 yard rush,10,36
9,4.0,49ers,Tom Holmoe 78 yard interception return (Ray Wersching kick),10,43
10,4.0,Cardinals,J.T. Smith 24 yard pass from Cliff Stoudt (John Lee kick),17,43
