,Quarter,Tm,Detail,WAS,NYG
0,1.0,Redskins,Frank Grant 96 yard pass from Billy Kilmer (Mark Moseley kick),7,0
1,2.0,Giants,George Hunt 22 yard field goal,7,3
2,2.0,Giants,Ron Johnson 36 yard pass from Craig Morton (George Hunt kick),7,10
3,3.0,Giants,George Hunt 22 yard field goal,7,13
4,4.0,Redskins,Larry Brown 1 yard rush (Mark Moseley kick),14,13
5,4.0,Redskins,Bob Brunet 2 yard rush (Mark Moseley kick),21,13
