,Quarter,Tm,Detail,TAM,DET
0,1.0,Lions,Jason Hanson 29 yard field goal,0,3
1,2.0,Lions,Jason Hanson 49 yard field goal,0,6
2,3.0,Lions,Rodney Peete 9 yard rush (Jason Hanson kick),0,13
3,4.0,Lions,Derrick Moore 1 yard rush (Jason Hanson kick),0,20
4,4.0,Lions,Jason Hanson 37 yard field goal,0,23
