,Quarter,Time,Tm,Detail,NYJ,TAM
0,1.0,12:40,Jets,Jay Feely 40 yard field goal,3,0
1,1.0,4:47,Jets,Jay Feely 24 yard field goal,6,0
2,2.0,6:53,Jets,Jay Feely 49 yard field goal,9,0
3,2.0,3:19,Jets,Thomas Jones 33 yard rush (Jay Feely kick),16,0
4,2.0,0:11,Jets,Jay Feely 49 yard field goal,19,0
5,3.0,4:45,Buccaneers,Connor Barth 43 yard field goal,19,3
6,4.0,9:07,Jets,Thomas Jones 7 yard rush (Jay Feely kick),26,3
