,Quarter,Tm,Detail,PHI,PIT
0,3.0,Eagles,Norm Willey 41 yard interception return (Cliff Patton kick),7,0
1,3.0,Steelers,Fran Rogel 64 yard pass from Joe Geri (Joe Geri kick),7,7
2,3.0,Steelers,Joe Geri 24 yard field goal,7,10
3,4.0,Eagles,Cliff Patton 23 yard field goal,10,10
4,4.0,Eagles,Steve Van Buren 5 yard rush (Cliff Patton kick),17,10
