,Quarter,Tm,Detail,PIT,GNB
0,1.0,Steelers,Roy Gerela 19 yard field goal,3,0
1,2.0,Packers,John Brockington 2 yard rush,3,6
2,2.0,Steelers,Mike Collier 94 yard kickoff return (Roy Gerela kick),10,6
3,2.0,Steelers,Roy Gerela 19 yard field goal,13,6
4,3.0,Packers,John Brockington 5 yard pass from John Hadl (Joe Danelo kick),13,13
5,4.0,Steelers,Roy Gerela 29 yard field goal,16,13
