,Quarter,Tm,Detail,PHI,SDG
0,1.0,Chargers,Anthony Miller 6 yard pass from Jim McMahon (Chris Bahr kick),0,7
1,2.0,Eagles,Gregg Garrity 4 yard pass from Randall Cunningham (Steve DeLine kick),7,7
2,3.0,Chargers,Chris Bahr 23 yard field goal,7,10
3,3.0,Chargers,Anthony Miller 69 yard pass from Jim McMahon (Chris Bahr kick),7,17
4,4.0,Eagles,Steve DeLine 43 yard field goal,10,17
5,4.0,Eagles,Keith Byars 3 yard rush (Steve DeLine kick),17,17
6,4.0,Chargers,Chris Bahr 49 yard field goal,17,20
