,Quarter,Tm,Detail,CLE,DET
0,1.0,Lions,Brett Perriman 13 yard pass from Andre Ware (Jason Hanson kick),0,7
1,3.0,Lions,Barry Sanders 14 yard rush (Jason Hanson kick),0,14
2,3.0,Lions,Reggie Barrett 19 yard pass from Andre Ware (Jason Hanson kick),0,21
3,4.0,Browns,Michael Jackson 69 yard pass from Bernie Kosar (Matt Stover kick),7,21
4,4.0,Lions,Jason Hanson 46 yard field goal,7,24
5,4.0,Browns,Eric Metcalf 5 yard pass from Bernie Kosar (Matt Stover kick),14,24
