,Quarter,Tm,Detail,STL,NYG
0,1.0,Giants,Ali Haji-Sheikh 44 yard field goal,0,3
1,1.0,Giants,Ali Haji-Sheikh 44 yard field goal,0,6
2,2.0,Cardinals,Roy Green 20 yard pass from Neil Lomax (Neil O'Donoghue kick),7,6
3,4.0,Cardinals,Neil O'Donoghue 25 yard field goal,10,6
