,Quarter,Tm,Detail,TAM,SFO
0,1.0,49ers,Mike Shumann 19 yard pass from Steve DeBerg (Ray Wersching kick),0,7
1,1.0,49ers,Ray Wersching 39 yard field goal,0,10
2,2.0,Buccaneers,Jimmie Giles 19 yard pass from Doug Williams (Neil O'Donoghue kick),7,10
3,2.0,49ers,Ray Wersching 27 yard field goal,7,13
4,4.0,49ers,Lenvil Elliott 1 yard rush (Ray Wersching kick),7,20
5,4.0,49ers,Ray Wersching 45 yard field goal,7,23
