,Quarter,Tm,Detail,CLE,PIT
0,2.0,Browns,Milt Plum 1 yard rush (Lou Groza kick),7,0
1,3.0,Steelers,Bobby Layne 26 yard field goal,7,3
2,3.0,Steelers,Jimmy Orr 20 yard pass from Bobby Layne (Bobby Layne kick),7,10
3,4.0,Steelers,Pete Brewster 22 yard pass from Bobby Layne (Bobby Layne kick),7,17
