,Quarter,Tm,Detail,PHI,RAM
0,1.0,Rams,Pat West 2 yard rush (Bob Waterfield kick),0,7
1,1.0,Eagles,Roy Zimmerman 21 yard field goal,3,7
2,1.0,Eagles,Augie Lio 42 yard field goal,6,7
3,2.0,Rams,Mike Holovak 8 yard rush (Bob Waterfield kick),6,14
4,3.0,Eagles,Roy Zimmerman 19 yard field goal,9,14
5,3.0,Eagles,Larry Cabrelli 38 yard pass from Allie Sherman (Augie Lio kick),16,14
6,4.0,Eagles,Jack Ferrante 28 yard pass from Allie Sherman (Roy Zimmerman kick),23,14
7,4.0,Eagles,"Safety, Washington tackled in end zone by Muha",25,14
