,Quarter,Tm,Detail,GNB,BAL
0,1.0,Colts,Raymond Berry 52 yard pass from Johnny Unitas (Bert Rechichar kick),0,7
1,2.0,Colts,Alan Ameche 1 yard rush (Bert Rechichar kick),0,14
2,4.0,Packers,Paul Hornung 3 yard rush (Fred Cone kick),7,14
3,4.0,Packers,Paul Hornung 2 yard rush (Fred Cone kick),14,14
4,4.0,Packers,Fred Cone 9 yard field goal,17,14
5,4.0,Colts,Lenny Moore 6 yard pass from Johnny Unitas (Bert Rechichar kick),17,21
6,4.0,Packers,Billy Howton 75 yard pass from Babe Parilli (Fred Cone kick),24,21
