,Quarter,Time,Tm,Detail,TEN,JAX
0,1.0,7:24,Jaguars,Jason Myers 43 yard field goal,0,3
1,1.0,2:16,Titans,Ryan Succop 40 yard field goal,3,3
2,2.0,0:00,Titans,Ryan Succop 41 yard field goal,6,3
3,3.0,9:24,Titans,Ryan Succop 26 yard field goal,9,3
4,3.0,6:36,Titans,Derrick Henry 17 yard rush (Ryan Succop kick),16,3
5,3.0,2:49,Titans,Delanie Walker 1 yard rush (Ryan Succop kick),23,3
6,4.0,9:57,Titans,Jonnu Smith 32 yard pass from Marcus Mariota (Ryan Succop kick),30,3
7,4.0,7:12,Jaguars,Leonard Fournette 1 yard rush (pass failed),30,9
8,4.0,4:14,Titans,Jalston Fowler 3 yard rush (Ryan Succop kick),37,9
9,4.0,2:11,Jaguars,Allen Hurns 7 yard pass from Blake Bortles (Jason Myers kick),37,16
