,Quarter,Time,Tm,Detail,ARI,SFO
0,1.0,2:28,49ers,Jerry Rice 5 yard pass from Jeff Garcia (Wade Richey kick),0,7
1,2.0,12:07,Cardinals,Cary Blanchard 32 yard field goal,3,7
2,2.0,1:53,49ers,Wade Richey 33 yard field goal,3,10
3,2.0,0:49,49ers,Charlie Garner 1 yard rush (Wade Richey kick),3,17
4,2.0,0:18,Cardinals,David Boston 56 yard pass from Jake Plummer (Cary Blanchard kick),10,17
5,3.0,6:13,49ers,Charlie Garner 1 yard rush (Wade Richey kick),10,24
6,4.0,12:18,49ers,Wade Richey 29 yard field goal,10,27
7,4.0,6:45,Cardinals,Cary Blanchard 27 yard field goal,13,27
8,4.0,2:15,Cardinals,Thomas Jones 4 yard rush (Cary Blanchard kick),20,27
