,Quarter,Tm,Detail,GNB,SFO
0,1.0,49ers,Bill Jessup 68 yard pass from Y.A. Tittle (Gordie Soltau kick),0,7
1,1.0,49ers,Y.A. Tittle 8 yard rush (Gordie Soltau kick),0,14
2,1.0,49ers,Joe Perry 5 yard rush (Gordie Soltau kick),0,21
3,2.0,49ers,Gordie Soltau 6 yard pass from Y.A. Tittle (Gordie Soltau kick),0,28
4,4.0,49ers,Pete Schabarum 5 yard rush (Gordie Soltau kick),0,35
