,Quarter,Time,Tm,Detail,IND,NYJ
0,1.0,,Colts,Dean Biasucci 37 yard field goal,3,0
1,2.0,,Jets,Nick Lowery 27 yard field goal,3,3
2,2.0,,Colts,Dean Biasucci 44 yard field goal,6,3
3,2.0,,Jets,Nick Lowery 42 yard field goal,6,6
4,4.0,,Jets,Nick Lowery 37 yard field goal,6,9
5,4.0,,Jets,Johnny Mitchell 1 yard pass from Boomer Esiason (Nick Lowery kick),6,16
