,Quarter,Tm,Detail,GNB,CHI
0,1.0,Packers,Keith Woodside 68 yard rush (Chris Jacke kick),7,0
1,1.0,Bears,Brad Muster 3 yard pass from Jim Harbaugh (Kevin Butler kick),7,7
2,1.0,Packers,Perry Kemp 27 yard pass from Don Majkowski (Chris Jacke kick),14,7
3,2.0,Bears,Neal Anderson 21 yard pass from Jim Harbaugh (Kevin Butler kick),14,14
4,2.0,Packers,Chris Jacke 19 yard field goal,17,14
5,2.0,Packers,Don Majkowski 17 yard rush (Chris Jacke kick),24,14
6,3.0,Packers,Chris Jacke 44 yard field goal,27,14
7,3.0,Bears,Neal Anderson 49 yard pass from Jim Harbaugh (Kevin Butler kick),27,21
8,3.0,Packers,Chris Jacke 23 yard field goal,30,21
9,3.0,Bears,Brad Muster 4 yard rush (Kevin Butler kick),30,28
10,4.0,Packers,Don Majkowski 1 yard rush (Chris Jacke kick),37,28
11,4.0,Packers,Chris Jacke 21 yard field goal,40,28
