,Quarter,Tm,Detail,NOR,RAM
0,2.0,Rams,Mike Lansford 38 yard field goal,0,3
1,2.0,Saints,Morten Andersen 48 yard field goal,3,3
2,2.0,Rams,Jim Everett 2 yard rush (Mike Lansford kick),3,10
3,3.0,Saints,Brett Maxie 50 yard interception return (Morten Andersen kick),10,10
4,3.0,Rams,Henry Ellard 42 yard pass from Jim Everett (Mike Lansford kick),10,17
5,4.0,Rams,Mike Lansford 18 yard field goal,10,20
6,4.0,Saints,Gill Fenerty 60 yard rush (Morten Andersen kick),17,20
7,4.0,Saints,Eric Martin 4 yard pass from Steve Walsh (Morten Andersen kick),24,20
