,Quarter,Tm,Detail,BUF,BOS
0,1.0,Patriots,Charley Frazier 34 yard pass from Mike Taliaferro (Gino Cappelletti kick),0,7
1,1.0,Bills,Wayne Patrick 1 yard rush (Bruce Alford kick),7,7
2,1.0,Patriots,Charley Frazier 24 yard pass from Mike Taliaferro (Gino Cappelletti kick),7,14
3,2.0,Patriots,Ron Sellers 35 yard pass from Mike Taliaferro (Gino Cappelletti kick),7,21
4,2.0,Bills,Haven Moses 48 yard pass from Jack Kemp (Bruce Alford kick),14,21
5,3.0,Bills,Haven Moses 2 yard pass from Jack Kemp (Bruce Alford kick),21,21
6,4.0,Patriots,Jim Nance 2 yard rush (Gino Cappelletti kick),21,28
7,4.0,Patriots,Carl Garrett 44 yard rush (Gino Cappelletti kick),21,35
