,Quarter,Time,Tm,Detail,KAN,CAR
0,1.0,10:49,Panthers,Graham Gano 42 yard field goal,0,3
1,2.0,9:05,Panthers,Cam Newton 4 yard rush (Graham Gano kick),0,10
2,2.0,1:52,Panthers,Devin Funchess 38 yard pass from Cam Newton (Graham Gano kick),0,17
3,2.0,0:10,Chiefs,Cairo Santos 47 yard field goal,3,17
4,4.0,12:02,Chiefs,Cairo Santos 36 yard field goal,6,17
5,4.0,10:32,Chiefs,Eric Berry 42 yard interception return (Travis Kelce pass from Alex Smith),14,17
6,4.0,4:25,Chiefs,Cairo Santos 33 yard field goal,17,17
7,4.0,0:00,Chiefs,Cairo Santos 37 yard field goal,20,17
