,Quarter,Tm,Detail,STL,DAL
0,1.0,Cardinals,Sonny Randle 86 yard pass from Charley Johnson (Gerry Perry kick),7,0
1,1.0,Cowboys,Sam Baker 37 yard field goal,7,3
2,2.0,Cowboys,Don Perkins 33 yard rush (Sam Baker kick),7,10
3,2.0,Cardinals,Bobby Joe Conrad 10 yard pass from Charley Johnson (Gerry Perry kick),14,10
4,3.0,Cowboys,Don Bishop 84 yard defensive fumble return (Sam Baker kick),14,17
5,3.0,Cardinals,Larry Wilson 57 yard interception return (Gerry Perry kick),21,17
6,4.0,Cardinals,Sonny Randle 8 yard pass from Charley Johnson (Gerry Perry kick),28,17
7,4.0,Cowboys,Lee Folkins 1 yard pass from Don Meredith (Sam Baker kick),28,24
