,Quarter,Time,Tm,Detail,CIN,BAL
0,1.0,8:17,Bengals,Cedric Benson 7 yard rush (Mike Nugent kick),7,0
1,2.0,11:17,Ravens,Anquan Boldin 35 yard pass from Joe Flacco (Billy Cundiff kick),7,7
2,2.0,8:33,Ravens,Ray Rice 1 yard rush (Billy Cundiff kick),7,14
3,3.0,10:50,Ravens,Billy Cundiff 22 yard field goal,7,17
4,3.0,6:51,Bengals,Cedric Benson 3 yard rush (Mike Nugent kick),14,17
5,3.0,0:36,Ravens,Ray Rice 2 yard rush (Billy Cundiff kick),14,24
6,4.0,14:02,Ravens,Torrey Smith 38 yard pass from Joe Flacco (Billy Cundiff kick),14,31
7,4.0,10:59,Bengals,Andre Caldwell 49 yard pass from Andy Dalton (Mike Nugent kick),21,31
8,4.0,5:32,Bengals,Mike Nugent 27 yard field goal,24,31
