,Quarter,Tm,Detail,TOR,PRT
0,1.0,Spartans,Chuck Bennett 11 yard pass from Bill Glassgow (Tiny Lewis kick),0,7
1,1.0,Spartans,Byron Eby 56 yard pass from Ray Novotny,0,13
2,1.0,Tornadoes,Frank Kirkleski 50 yard rush,6,13
