,Quarter,Tm,Detail,DAY,CHI
0,1.0,Bears,Paddy Driscoll 3 yard rush (Paddy Driscoll kick),0,7
1,2.0,Bears,John Wallace 20 yard pass from Bill Senn,0,13
2,2.0,Bears,Dick Sturtridge 60 yard pass from Milt Romney (Bill Senn kick),0,20
3,3.0,Bears,Bill Senn 35 yard pass from Joey Sternaman (Joey Sternaman kick),0,27
