,Quarter,Time,Tm,Detail,DET,CLE
0,1.0,3:27,Lions,Joseph Fauria 1 yard pass from Matthew Stafford (David Akers kick),7,0
1,2.0,12:52,Browns,Chris Ogbonnaya 4 yard pass from Brandon Weeden (Billy Cundiff kick),7,7
2,2.0,1:16,Browns,Greg Little 2 yard pass from Brandon Weeden (Billy Cundiff kick),7,14
3,2.0,0:08,Browns,Billy Cundiff 40 yard field goal,7,17
4,3.0,8:57,Lions,Reggie Bush 18 yard pass from Matthew Stafford (David Akers kick),14,17
5,4.0,10:35,Lions,Joseph Fauria 23 yard pass from Matthew Stafford (David Akers kick),21,17
6,4.0,6:04,Lions,David Akers 51 yard field goal,24,17
7,4.0,2:01,Lions,Joseph Fauria 10 yard pass from Matthew Stafford (David Akers kick),31,17
