,Quarter,Tm,Detail,HOU,SFO
0,1.0,Oilers,Tony Zendejas 20 yard field goal,3,0
1,1.0,49ers,Tom Rathman 8 yard pass from Joe Montana (Ray Wersching kick),3,7
2,2.0,Oilers,Tony Zendejas 48 yard field goal,6,7
3,2.0,49ers,Jerry Rice 1 yard pass from Joe Montana (Ray Wersching kick),6,14
4,3.0,49ers,Tom Rathman 3 yard pass from Joe Montana (Ray Wersching kick),6,21
5,3.0,Oilers,Curtis Duncan 5 yard pass from Warren Moon (Tony Zendejas kick),13,21
6,4.0,49ers,Ray Wersching 28 yard field goal,13,24
7,4.0,49ers,Ray Wersching 38 yard field goal,13,27
8,4.0,Oilers,Ernest Givins 8 yard pass from Warren Moon (Tony Zendejas kick),20,27
