,Quarter,Tm,Detail,MIA,KAN
0,1.0,Chiefs,Christian Okoye 3 yard rush,0,6
1,1.0,Chiefs,Stephone Paige 38 yard pass from Steve DeBerg (Nick Lowery kick),0,13
2,2.0,Chiefs,Nick Lowery 34 yard field goal,0,16
3,3.0,Dolphins,Jim Jensen 8 yard pass from Dan Marino (Pete Stoyanovich kick),7,16
4,3.0,Chiefs,Nick Lowery 28 yard field goal,7,19
5,4.0,Dolphins,Mark Clayton 15 yard pass from Dan Marino (Pete Stoyanovich kick),14,19
6,4.0,Chiefs,Herman Heard 8 yard pass from Steve DeBerg (Nick Lowery kick),14,26
7,4.0,Dolphins,Jim Jensen 9 yard pass from Dan Marino (Pete Stoyanovich kick),21,26
