,Quarter,Time,Tm,Detail,CIN,BAL
0,1.0,,Ravens,Derrick Alexander 17 yard pass from Vinny Testaverde (Matt Stover kick),0,7
1,2.0,,Bengals,Doug Pelfrey 41 yard field goal,3,7
2,2.0,,Ravens,Bam Morris 1 yard rush (Matt Stover kick),3,14
3,2.0,,Ravens,Michael Jackson 20 yard pass from Vinny Testaverde (Matt Stover kick),3,21
4,3.0,,Bengals,Ki-Jana Carter 1 yard rush (Doug Pelfrey kick),10,21
5,4.0,,Bengals,Jeff Blake 4 yard rush (Carl Pickens pass from Jeff Blake),18,21
6,4.0,,Bengals,Doug Pelfrey 49 yard field goal,21,21
7,4.0,,Bengals,Doug Pelfrey 34 yard field goal,24,21
