,Quarter,Tm,Detail,MIN,SDG
0,1.0,Chargers,Gary Garrison 5 yard pass from John Hadl (Dennis Partee kick),0,7
1,1.0,Vikings,Oscar Reed 10 yard rush (Fred Cox kick),7,7
2,2.0,Chargers,Dennis Partee 12 yard field goal,7,10
3,2.0,Vikings,Clint Jones 1 yard rush (Fred Cox kick),14,10
4,4.0,Chargers,Mike Garrett 5 yard pass from John Hadl (Dennis Partee kick),14,17
5,4.0,Chargers,Dennis Partee 43 yard field goal,14,20
6,4.0,Chargers,Dennis Partee 22 yard field goal,14,23
7,4.0,Chargers,Pete Barnes 36 yard interception return (Dennis Partee kick),14,30
