,Quarter,Time,Tm,Detail,PIT,BUF
0,1.0,0:04,Steelers,Dewayne Washington 63 yard defensive fumble return (Kris Brown kick),7,0
1,2.0,3:11,Steelers,Kris Brown 30 yard field goal,10,0
2,2.0,0:26,Bills,Jake Arians 23 yard field goal,10,3
3,4.0,8:55,Steelers,Kris Brown 52 yard field goal,13,3
4,4.0,3:42,Steelers,Chris Fuamatu-Ma'afala 22 yard rush (Kris Brown kick),20,3
