,Quarter,Tm,Detail,CLE,NYG
0,1.0,Browns,Lou Groza 39 yard field goal,3,0
1,2.0,Giants,Dick James 7 yard pass from Y.A. Tittle (Don Chandler kick),3,7
2,2.0,Browns,Frank Ryan 13 yard rush (Lou Groza kick),10,7
3,2.0,Browns,Gary Collins 11 yard pass from Frank Ryan (Lou Groza kick),17,7
4,2.0,Browns,Ernie Green 1 yard pass from Frank Ryan (Lou Groza kick),24,7
5,3.0,Browns,Ernie Green 25 yard pass from Frank Ryan (Lou Groza kick),31,7
6,3.0,Browns,Paul Warfield 8 yard pass from Frank Ryan (Lou Groza kick),38,7
7,3.0,Browns,Jim Brown 8 yard pass from Frank Ryan (Lou Groza kick),45,7
8,4.0,Giants,Aaron Thomas 10 yard pass from Gary Wood (Don Chandler kick),45,14
9,4.0,Browns,Walter Roberts 24 yard pass from Jim Ninowski (Lou Groza kick),52,14
10,4.0,Giants,Aaron Thomas 1 yard pass from Gary Wood,52,20
