,Quarter,Time,Tm,Detail,PHI,JAX
0,1.0,,Jaguars,James Stewart 7 yard rush (Mike Hollis kick),0,7
1,1.0,,Jaguars,James Stewart 8 yard rush (Mike Hollis kick),0,14
2,1.0,,Jaguars,James Stewart 2 yard rush (Mike Hollis kick),0,21
3,2.0,,Eagles,Irving Fryar 34 yard pass from Ty Detmer (Chris Boniol kick),7,21
4,3.0,,Jaguars,James Stewart 1 yard rush (Mike Hollis kick),7,28
5,4.0,,Jaguars,James Stewart 1 yard rush (Mike Hollis kick),7,35
6,4.0,,Eagles,Irving Fryar 9 yard pass from Rodney Peete (Chris Boniol kick),14,35
7,4.0,,Eagles,Irving Fryar 15 yard pass from Rodney Peete (Chris Boniol kick),21,35
8,4.0,,Jaguars,Mike Hollis 38 yard field goal,21,38
