,Quarter,Time,Tm,Detail,IND,SDG
0,1.0,5:50,Colts,Mike Vanderjagt 35 yard field goal,3,0
1,1.0,1:19,Colts,Marvin Harrison 33 yard pass from Peyton Manning (Mike Vanderjagt kick),10,0
2,2.0,11:38,Chargers,Natrone Means 1 yard rush (John Carney kick),10,7
3,2.0,10:29,Chargers,Darryll Lewis blocked punt recovery in end zone (John Carney kick),10,14
4,2.0,2:45,Chargers,"Safety, ball snapped out of end zone",10,16
5,3.0,8:26,Chargers,John Carney 50 yard field goal,10,19
6,3.0,4:13,Colts,Mike Vanderjagt 42 yard field goal,13,19
7,4.0,11:41,Colts,Peyton Manning 12 yard rush (Mike Vanderjagt kick),20,19
8,4.0,2:34,Colts,Terrence Wilkins 26 yard pass from Peyton Manning (Mike Vanderjagt kick),27,19
