,Quarter,Tm,Detail,SFO,RAM
0,1.0,Rams,John Cappelletti 25 yard rush (Tom Dempsey kick),0,7
1,1.0,Rams,Jim Bertelsen 1 yard rush (Tom Dempsey kick),0,14
2,3.0,49ers,Gene Washington 42 yard pass from Steve Spurrier (Steve Mike-Mayer kick),7,14
3,3.0,49ers,Delvin Williams 19 yard pass from Steve Spurrier (Steve Mike-Mayer kick),14,14
4,4.0,Rams,Tom Dempsey 23 yard field goal,14,17
5,4.0,49ers,Gene Washington 68 yard pass from Steve Spurrier (Steve Mike-Mayer kick),21,17
6,4.0,Rams,Jim Bertelsen 1 yard rush,21,23
7,4.0,49ers,Steve Mike-Mayer 54 yard field goal,24,23
