,Quarter,Tm,Detail,MIN,PIT
0,1.0,Vikings,Fred Cox 24 yard field goal,3,0
1,1.0,Steelers,Franco Harris 12 yard rush (Roy Gerela kick),3,7
2,3.0,Steelers,Roy Gerela 17 yard field goal,3,10
3,4.0,Vikings,Stu Voigt 5 yard pass from Fran Tarkenton (Fred Cox kick),10,10
4,4.0,Steelers,Terry Bradshaw 1 yard rush,10,16
5,4.0,Steelers,Frank Lewis 17 yard pass from Terry Bradshaw (Roy Gerela kick),10,23
