,Quarter,Tm,Detail,RAM,CHI
0,1.0,Bears,Bill Karr 35 yard pass from Bronko Nagurski,0,6
1,2.0,Bears,Eggs Manske 43 yard pass from Bernie Masterson,0,12
2,3.0,Rams,Primo Miller 11 yard touchdown on a lateral (Bob Snyder kick),7,12
3,3.0,Bears,Jack Manders 35 yard field goal,7,15
