,Quarter,Tm,Detail,NWE,PHI
0,1.0,Patriots,John Smith 22 yard field goal,3,0
1,2.0,Eagles,Tony Franklin 46 yard field goal,3,3
2,3.0,Eagles,Tony Franklin 22 yard field goal,3,6
3,3.0,Eagles,Perry Harrington 6 yard rush (Tony Franklin kick),3,13
