,Quarter,Tm,Detail,OAK,BAL
0,1.0,Colts,Toni Linhart 31 yard field goal,0,3
1,1.0,Colts,Glenn Doughty 46 yard pass from Bert Jones (Toni Linhart kick),0,10
2,2.0,Raiders,Harold Hart 11 yard rush (George Blanda kick),7,10
3,2.0,Colts,Toni Linhart 37 yard field goal,7,13
4,2.0,Raiders,George Blanda 29 yard field goal,10,13
5,3.0,Raiders,Dave Casper 4 yard pass from Ken Stabler (George Blanda kick),17,13
6,3.0,Raiders,Jess Phillips 6 yard rush (George Blanda kick),24,13
7,3.0,Colts,Don McCauley 1 yard rush (Toni Linhart kick),24,20
8,4.0,Raiders,Pete Banaszak 1 yard rush (George Blanda kick),31,20
