,Quarter,Time,Tm,Detail,GNB,PHI
0,2.0,,Packers,Ryan Longwell 22 yard field goal,3,0
1,2.0,,Packers,Ryan Longwell 18 yard field goal,6,0
2,3.0,,Eagles,Chris Boniol 32 yard field goal,6,3
3,3.0,,Packers,Ryan Longwell 27 yard field goal,9,3
4,4.0,,Eagles,Freddie Solomon 2 yard pass from Ty Detmer (Chris Boniol kick),9,10
