,Quarter,Tm,Detail,PHI,PHO
0,1.0,Eagles,Fred Barnett 18 yard pass from Jim McMahon (Roger Ruzek kick),7,0
1,1.0,Eagles,Seth Joyner 34 yard defensive fumble return,13,0
2,1.0,Cardinals,Willie Williams 3 yard pass from Stan Gelbaugh (Greg Davis kick),13,7
3,1.0,Eagles,Clyde Simmons defensive fumble recovery in end zone (Roger Ruzek kick),20,7
4,2.0,Cardinals,Lorenzo Lynch 35 yard interception return (Greg Davis kick),20,14
5,3.0,Eagles,Keith Jackson 29 yard pass from Jim McMahon (Roger Ruzek kick),27,14
6,4.0,Eagles,Keith Byars 14 yard rush (Roger Ruzek kick),34,14
