,Quarter,Time,Tm,Detail,WAS,PIT
0,1.0,,Steelers,Kordell Stewart 1 yard rush (Norm Johnson kick),0,7
1,2.0,,Redskins,Scott Blanton 37 yard field goal,3,7
2,3.0,15:00,Redskins,Brian Mitchell 97 yard kickoff return (Scott Blanton kick),10,7
3,3.0,15:00,Redskins,Scott Blanton 28 yard field goal,13,7
4,4.0,15:00,Steelers,Jerome Bettis 1 yard rush (Norm Johnson kick),13,14
