,Quarter,Tm,Detail,NYG,ATL
0,1,Giants,Ali Haji-Sheikh 37 yard field goal,3,0
1,2,Giants,Earnest Gray 8 yard pass from Scott Brunner (Ali Haji-Sheikh kick),10,0
2,2,Falcons,Mick Luckhurst 42 yard field goal,10,3
3,3,Falcons,Mick Luckhurst 39 yard field goal,10,6
4,4,Giants,Ali Haji-Sheikh 31 yard field goal,13,6
5,4,Falcons,Alfred Jackson 11 yard pass from Steve Bartkowski (Mick Luckhurst kick),13,13
6,OT,Giants,Ali Haji-Sheikh 30 yard field goal,16,13
