,Quarter,Tm,Detail,DET,MIN
0,1.0,Lions,Eddie Murray 26 yard field goal,3,0
1,1.0,Lions,Eddie Murray 27 yard field goal,6,0
2,2.0,Vikings,Chuck Nelson 27 yard field goal,6,3
3,2.0,Lions,Eddie Murray 24 yard field goal,9,3
4,2.0,Lions,Pete Mandley 5 yard pass from Chuck Long (Eddie Murray kick),16,3
5,2.0,Vikings,D.J. Dozier 2 yard pass from Wade Wilson (Chuck Nelson kick),16,10
6,3.0,Lions,Eddie Murray 34 yard field goal,19,10
7,3.0,Vikings,Anthony Carter 73 yard pass from Wade Wilson (Chuck Nelson kick),19,17
8,3.0,Vikings,D.J. Dozier 1 yard rush (Chuck Nelson kick),19,24
9,3.0,Vikings,Leo Lewis 24 yard pass from Wade Wilson (Chuck Nelson kick),19,31
10,4.0,Vikings,Chuck Nelson 22 yard field goal,19,34
