,Quarter,Tm,Detail,RAM,DET
0,1.0,Lions,"Safety, George tackled Drake in end zone",0,2
1,2.0,Rams,Johnny Drake 1 yard rush (Vic Spadaccini kick),7,2
2,2.0,Lions,Darrell Tully 3 yard rush,7,8
3,4.0,Lions,Bill Moore 10 yard pass from Darrell Tully (Monk Moscrip kick),7,15
