,Quarter,Tm,Detail,CHI,DET
0,1.0,Bears,Roger LeClerc 38 yard field goal,3,0
1,2.0,Lions,Tom Nowatzke 6 yard rush (Wayne Walker kick),3,7
2,2.0,Lions,Pat Studstill 25 yard pass from Milt Plum (Wayne Walker kick),3,14
