,Quarter,Time,Tm,Detail,BAL,TEN
0,1.0,7:50,Titans,Troy Fleming 2 yard pass from Steve McNair (Rob Bironas kick),0,7
1,2.0,13:08,Titans,Rob Bironas 39 yard field goal,0,10
2,2.0,0:01,Titans,Rob Bironas 29 yard field goal,0,13
3,3.0,8:54,Ravens,Matt Stover 30 yard field goal,3,13
4,3.0,7:10,Titans,Rob Bironas 47 yard field goal,3,16
5,4.0,11:53,Titans,Brad Kassell 21 yard interception return (Rob Bironas kick),3,23
6,4.0,6:24,Ravens,Derrick Mason 12 yard pass from Anthony Wright (Matt Stover kick),10,23
7,4.0,2:43,Titans,"Safety,",10,25
