,Quarter,Tm,Detail,RAC,CRD
0,1,Cardinals,Roddy Lamb 2 yard rush,0,7
1,2,Cardinals,Mickey MacDonnell 5 yard rush,0,13
2,4,Cardinals,Bill McElwain unknown yard rush (Roddy Lamb kick),0,20
