,Quarter,Time,Tm,Detail,NWE,MIA
0,2,,Dolphins,Olindo Mare 48 yard field goal,0,3
1,3,,Patriots,Adam Vinatieri 41 yard field goal,3,3
2,4,,Patriots,Adam Vinatieri 30 yard field goal,6,3
3,4,,Dolphins,Olindo Mare 38 yard field goal,6,6
4,4,,Patriots,Adam Vinatieri 36 yard field goal,9,6
5,4,0:53,Dolphins,Olindo Mare 25 yard field goal,9,9
6,OT,0:53,Dolphins,Olindo Mare 43 yard field goal,9,12
