,Quarter,Tm,Detail,POT,BRL
0,2.0,Maroons,Barney Wentz unknown yard rush (Jim Welsh kick),7,0
1,4.0,Maroons,Barney Wentz unknown yard rush (Jim Welsh kick),14,0
2,4.0,Maroons,Tony Latone unknown yard rush (Jim Welsh kick),21,0
